provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
gemini,CP04,20,0.27134822419533683,0.0583541159401652,0.040664077451035834,0.03942882240523493,0.00935589083620728,2000
gemini,CP04,25,0.27134822419533683,0.04598436569866625,0.032462005845745975,0.03142800817858804,0.007148548386399159,2000
gemini,CP04,30,0.27134822419533683,0.038882630524190887,0.027077159847807532,0.026121422282057605,0.0063881948567884855,2000
gemini,CP05,3,0.24410951491541766,0.4105905710021948,0.2612115482645489,0.24808629937000393,0.07803079452805435,2000
gemini,CP05,5,0.24410951491541766,0.24208047718498343,0.15586285311299194,0.14746923507168386,0.0470624406227866,2000
gemini,CP05,7,0.24410951491541766,0.17612244550115183,0.11164518715443518,0.1052033631957413,0.03463442331913605,2000
gemini,CP05,10,0.24410951491541766,0.11970269342135616,0.0772363944100897,0.07273159548814001,0.02305470914993129,2000
gemini,CP05,15,0.24410951491541766,0.08302656602584492,0.05247117102058652,0.04906733324503498,0.015815926409560806,2000
gemini,CP05,20,0.24410951491541766,0.061127627818082536,0.039282857449407974,0.03717341387600592,0.011808619069018438,2000
gemini,CP05,25,0.24410951491541766,0.049709093631228926,0.031107265579897823,0.0291144916305921,0.009457673430635959,2000
gemini,CP05,30,0.24410951491541766,0.04058350471197309,0.025952393895613306,0.024435465562456127,0.0075139787791533765,2000
gemini,CR01,3,0.20931958080778568,0.4104191950337023,0.26819104763636203,0.25511073900672787,0.07681132407506638,2000
gemini,CR01,5,0.20931958080778568,0.23936884119583074,0.15849877942035928,0.15219727909841918,0.043399695487010254,2000
gemini,CR01,7,0.20931958080778568,0.17651063618951898,0.11557616806373901,0.10881685022494347,0.03319596657001481,2000
gemini,CR01,10,0.20931958080778568,0.12168831021118866,0.08005313088875961,0.07614737139848449,0.02188672516029393,2000
gemini,CR01,15,0.20931958080778568,0.08073535323694368,0.05360962427780341,0.0512899212789214,0.014704271356197427,2000
gemini,CR01,20,0.20931958080778568,0.060234995878365276,0.03995318941184028,0.037882874094275154,0.011084644778720025,2000
gemini,CR01,25,0.20931958080778568,0.04943425277383375,0.03215421337604782,0.030682113152358248,0.00898715799269152,2000
gemini,CR01,30,0.20931958080778568,0.03923682724437396,0.026302430453548062,0.025244372615879085,0.007014518629119727,2000
gemini,CR02,3,0.30533339769782797,0.4470003374250707,0.2595375001182401,0.23926699845487165,0.09698737904708592,2000
gemini,CR02,5,0.30533339769782797,0.2723190707779268,0.15445374353208294,0.14143877725983722,0.061441034782101396,2000
gemini,CR02,7,0.30533339769782797,0.20392521863478982,0.11203572816814647,0.10276164065898996,0.04412795502544752,2000
gemini,CR02,10,0.30533339769782797,0.14158687989521498,0.07810395764392197,0.07066465695037283,0.031065610950548675,2000
gemini,CR02,15,0.30533339769782797,0.0917642167175341,0.051847167724712165,0.046833313801731946,0.020973232376043656,2000
gemini,CR02,20,0.30533339769782797,0.0683378274896196,0.038914076012927935,0.035161930542412234,0.015540937210476766,2000
gemini,CR02,25,0.30533339769782797,0.05513015724755026,0.031242684337310485,0.02811779713277096,0.012095577989941106,2000
gemini,CR02,30,0.30533339769782797,0.04668286329909646,0.02610316541547799,0.02345304679935778,0.010515780826014186,2000
gemini,CR03,3,0.16068393644468762,0.43981183742561386,0.26224617281154233,0.24997222016745035,0.09911721178689525,2000
